city_or_aimag, district_or_sum
Завхан аймаг, Дөрвөлжин сум
Завхан аймаг, Завханмандал сум
Завхан аймаг, Идэр сум
Завхан аймаг, Их-Уул сум
Завхан аймаг, Нөмрөг сум
Завхан аймаг, Отгон сум
Завхан аймаг, Сантмаргаз сум
Завхан аймаг, Сонгино сум
Завхан аймаг, Тосонцэнгэл сум
Завхан аймаг, Түдэвтэй сум
Завхан аймаг, Тэлмэн сум
Завхан аймаг, Тэс сум
Завхан аймаг, Ургамал сум
Завхан аймаг, Цагаанхайрхан сум
Завхан аймаг, Цагаанчулуут сум
Завхан аймаг, Цэцэн-Уул сум
Завхан аймаг, Шилүүстэй сум
Завхан аймаг, Эрдэнэхайрхан сум
Завхан аймаг, Яруу сум
Орхон аймаг, Эрдэнэт хот
Орхон аймаг, Баян-Өндөр сум
Орхон аймаг, Жаргалант сум
Өвөрхангай аймаг, Арвайхээр хот
Өвөрхангай аймаг, Баруунбаян-Улаан сум
Өвөрхангай аймаг, Бат-Өлзий сум
Өвөрхангай аймаг, Баянгол сум
Өвөрхангай аймаг, Баян-Өндөр сум
Өвөрхангай аймаг, Богд сум
Өвөрхангай аймаг, Бүрд сум
Өвөрхангай аймаг, Гучин-Ус сум
Өвөрхангай аймаг, Есөнзүйл сум
Өвөрхангай аймаг, Зүүнбаян-Улаан сум
Өвөрхангай аймаг, Нарийнтээл сум
Өвөрхангай аймаг, Өлзийт сум
Өвөрхангай аймаг, Сант сум
Өвөрхангай аймаг, Тарагт сум
Өвөрхангай аймаг, Төгрөг сум
Өвөрхангай аймаг, Уянга сум
Өвөрхангай аймаг, Хайрхандулаан сум
Өвөрхангай аймаг, Хархорин сум
Өвөрхангай аймаг, Хужирт сум
Өмнөговь аймаг, Даланзадгад хот
Өмнөговь аймаг, Баяндалай сум
Өмнөговь аймаг, Баян-Овоо сум
Өмнөговь аймаг, Булган сум
Өмнөговь аймаг, Гурвантэс сум
Өмнөговь аймаг, Мандал-Овоо сум
Өмнөговь аймаг, Манлай сум
Өмнөговь аймаг, Ноён сум
Өмнөговь аймаг, Номгон сум
Өмнөговь аймаг, Сэврэй сум
Өмнөговь аймаг, Ханбогд сум
Өмнөговь аймаг, Ханхонгор сум
Өмнөговь аймаг, Хүрмэн сум
Өмнөговь аймаг, Цогт-Овоо сум
Өмнөговь аймаг, Цогтцэций сум
Сүхбаатар аймаг, Баруун-Урт хот
Сүхбаатар аймаг, Асгат сум
Сүхбаатар аймаг, Баяндэлгэр сум
Сүхбаатар аймаг, Дарьганга сум
Сүхбаатар аймаг, Мөнххаан сум
Сүхбаатар аймаг, Наран сум
Сүхбаатар аймаг, Онгон сум
Сүхбаатар аймаг, Сүхбаатар сум
Сүхбаатар аймаг, Түвшинширээ сум
Сүхбаатар аймаг, Түмэнцогт сум
Сүхбаатар аймаг, Уулбаян сум
Сүхбаатар аймаг, Халзан сум
Сүхбаатар аймаг, Эрдэнэцагаан сум
Сэлэнгэ аймаг, Сүхбаатар хот
Сэлэнгэ аймаг, Алтанбулаг сум
Сэлэнгэ аймаг, Баруунбүрэн сум
Сэлэнгэ аймаг, Баянгол сум
Сэлэнгэ аймаг, Ерөө сум
Сэлэнгэ аймаг, Жавхлант сум
Сэлэнгэ аймаг, Зүүнбүрэн сум
Сэлэнгэ аймаг, Мандал сум
Сэлэнгэ аймаг, Орхон сум
Сэлэнгэ аймаг, Орхонтуул сум
Сэлэнгэ аймаг, Сайхан сум
Сэлэнгэ аймаг, Сант сум
Сэлэнгэ аймаг, Түшиг сум
Сэлэнгэ аймаг, Хушаат сум
Сэлэнгэ аймаг, Хүдэр сум
Сэлэнгэ аймаг, Цагааннуур сум
Сэлэнгэ аймаг, Шаамар сум
Төв аймаг, Зуунмод хот
Төв аймаг, Алтанбулаг сум
Төв аймаг, Аргалант сум
Төв аймаг, Архуст сум
Төв аймаг, Батсүмбэр сум
Төв аймаг, Баян сум
Төв аймаг, Баяндэлгэр сум
Төв аймаг, Баянжаргалан сум
Төв аймаг, Баян-Өнжүүл сум
Төв аймаг, Баянхангай сум
Төв аймаг, Баянцагаан сум
Төв аймаг, Баянцогт сум
Төв аймаг, Баянчандмань сум
Төв аймаг, Борнуур сум
Төв аймаг, Бүрэн сум
Төв аймаг, Дэлгэрхаан сум
Төв аймаг, Жаргалант сум
Төв аймаг, Заамар сум
Төв аймаг, Лүн сум
Төв аймаг, Мөнгөнморьт сум
Төв аймаг, Өндөрширээт сум
Төв аймаг, Сүмбэр сум
Төв аймаг, Сэргэлэн сум
Төв аймаг, Угтаалцайдам сум
Төв аймаг, Цээл сум
Төв аймаг, Эрдэнэ сум
Төв аймаг, Эрдэнэсант сум
Увс аймаг, Улаангом хот
Увс аймаг, Баруунтуруун сум
Увс аймаг, Бөхмөрөн сум
Увс аймаг, Давст сум
Увс аймаг, Завхан сум
Увс аймаг, Зүүнговь сум
Увс аймаг, Зүүнхангай сум
Увс аймаг, Малчин сум
Увс аймаг, Наранбулаг сум
Увс аймаг, Өлгий сум
Увс аймаг, Өмнөговь сум
Увс аймаг, Өндөрхангай сум
Увс аймаг, Сагил сум
Увс аймаг, Тариалан сум
Увс аймаг, Түргэн сум
Увс аймаг, Тэс сум
Увс аймаг, Ховд сум
Увс аймаг, Хяргас сум
Увс аймаг, Цагаанхайрхан сум
Ховд аймаг, Ховд хот
Ховд аймаг, Алтай сум
Ховд аймаг, Булган сум
Ховд аймаг, Буянт сум
Ховд аймаг, Дарви сум
Ховд аймаг, Дөргөн сум
Ховд аймаг, Дуут сум
Ховд аймаг, Жаргалант сум
Ховд аймаг, Зэрэг сум
Ховд аймаг, Манхан сум
Ховд аймаг, Мөнххайрхан сум
Ховд аймаг, Мөст сум
Ховд аймаг, Мянгад сум
Ховд аймаг, Үенч сум
Ховд аймаг, Ховд сум
Ховд аймаг, Цэцэг сум
Ховд аймаг, Чандмань сум
Ховд аймаг, Эрдэнэбүрэн сум
Хөвсгөл аймаг, Мөрөн хот
Хөвсгөл аймаг, Алаг-Эрдэнэ сум
Хөвсгөл аймаг, Арбулаг сум
Хөвсгөл аймаг, Баянзүрх сум
Хөвсгөл аймаг, Бүрэнтогтох сум
Хөвсгөл аймаг, Галт сум
Хөвсгөл аймаг, Жаргалант сум
Хөвсгөл аймаг, Их-Уул сум
Хөвсгөл аймаг, Мөрөн сум
Хөвсгөл аймаг, Рашаант сум
Хөвсгөл аймаг, Рэнчинлхүмбэ сум
Хөвсгөл аймаг, Тариалан сум
Хөвсгөл аймаг, Тосонцэнгэл сум
Хөвсгөл аймаг, Төмөрбулаг сум
Хөвсгөл аймаг, Түнэл сум
Хөвсгөл аймаг, Улаан-Уул сум
Хөвсгөл аймаг, Ханх сум
Хөвсгөл аймаг, Хатгал сум
Хөвсгөл аймаг, Цагааннуур сум
Хөвсгөл аймаг, Цагаан-Уул сум
Хөвсгөл аймаг, Цагаан-Үүр сум
Хөвсгөл аймаг, Цэцэрлэг сум
Хөвсгөл аймаг, Чандмань-Өндөр сум
Хөвсгөл аймаг, Шинэ-Идэр сум
Хөвсгөл аймаг, Эрдэнэбулган сум
Хэнтий аймаг, Чингис хот
Хэнтий аймаг, Батноров сум
Хэнтий аймаг, Батширээт сум
Хэнтий аймаг, Баян-Адарга сум
Хэнтий аймаг, Баянмөнх сум
Хэнтий аймаг, Баян-Овоо сум
Хэнтий аймаг, Баянхутаг сум
Хэнтий аймаг, Биндэр сум
Хэнтий аймаг, Бор-Өндөр сум
Хэнтий аймаг, Галшар сум
Хэнтий аймаг, Дадал сум
Хэнтий аймаг, Дархан сум
Хэнтий аймаг, Дэлгэрхаан сум
Хэнтий аймаг, Жаргалтхаан сум
Хэнтий аймаг, Мөрөн сум
Хэнтий аймаг, Норовлин сум
Хэнтий аймаг, Өмнөдэлгэр сум
Хэнтий аймаг, Хэрлэн сум
Хэнтий аймаг, Цэнхэрмандал сум
