country|country_full_name|capital_city
Өмнөд Судан|Бүгд Найрамдах Өмнөд Судан Улс|Жуба
Пакистан|Исламын Бүгд Найрамдах Пакистан Улс|Исламабад
Палау|Бүгд Найрамдах Палау Улс|Нгерулмуд
Палестин|Палестин Улс|Рамалла
Панам|Бүгд Найрамдах Панам Улс|Панам
Папуа Шинэ Гвиней|Папуа Шинэ Гвиней Улс|Порт-Морсби
Парагвай|Бүгд Найрамдах Парагвай Улс|Асунсион
Перу|Бүгд Найрамдах Перу Улс|Лима
Польш|Бүгд Найрамдах Польш Улс|Варшав
Португал|Бүгд Найрамдах Португал Улс|Лисбон
Руанда|Бүгд Найрамдах Руанда Улс|Кигали
Румын|Румын Улс|Бухарест
Самоа|Самоагийн Тусгаар Улс|Апиа
Сан Марино|Бүгд Найрамдах Сан Марино Улс|Сан Марино
Сан-Томе ба Принсипи|Бүгд Найрамдах Ардчилсан Сан-Томе ба Принсипи Улс|Сан-Томе
Саудын Араб|Саудын Арабын Хаант Улс|Эр-Рияд
Сейшелийн арлууд|Сейшелийн Арлуудын Бүгд Найрамдах Улс|Викториа
Сенегал|Бүгд Найрамдах Сенегал Улс|Дакар
Сент-Винсент ба Гренадин|Сент-Винсент ба Гренадин Улс|Кингстаун
Сент Кристофер ба Невис|Сент Кристофер ба Невисийн Холбооны Улс|Бассетер
Сент Люсиа|Сент Люсиа Улс|Кастри
Серби|Бүгд Найрамдах Серби Улс|Белград
Сингапур|Бүгд Найрамдах Сингапур Улс|Сингапур
Сири|Арабын Бүгд Найрамдах Сири Улс|Дамаск
Словак|Бүгд Найрамдах Словак Улс|Братислав
Словени|Бүгд Найрамдах Словени Улс|Любляна
Соломоны Арлууд|Соломоны Арлууд Улс|Хониара
Солонгос|Бүгд Найрамдах Солонгос Улс|Сөүл
Солонгос|Бүгд Найрамдах Ардчилсан Солонгос Ард Улс|Пёньян
Сомали|Холбооны Бүгд Найрамдах Сомали Улс|Могадишо
Судан|Бүгд Найрамдах Судан Улс|Хартум
Суринам|Бүгд Найрамдах Суринам Улс|Парамарибо
Сьерра Леон|Бүгд Найрамдах Сьерра Леон Улс|Фритаун
Тажикистан|Бүгд Найрамдах Тажикистан Улс|Душанбе
Тайланд|Тайландын Хаант Улс|Бангкок
Танзани|Бүгд Найрамдах Нэгдсэн Танзани Улс|Додома
Того|Бүгд Найрамдах Того Улс|Ломе
Тонга|Тонгагийн Хаант Улс|Нукуалофа
Төв Африк|Төв Африкийн Бүгд Найрамдах Улс|Бангуй
Тринидад ба Тобаго|Бүгд Найрамдах Тринидад ба Тобаго Улс|Порт-оф-Спейн
Тувалу|Тувалу Улс|Фунафути
Тунис|Бүгд Найрамдах Тунис Улс|Тунис
Турк|Бүгд Найрамдах Турк Улс|Анкара
Туркменистан|Туркменистан Улс|Ашхабад
Уганда|Бүгд Найрамдах Уганда Улс|Кампала
Узбекистан|Бүгд Найрамдах Узбекистан Улс|Ташкент
Украин|Украин Улс|Киев
Умард Македон|Бүгд Найрамдах Умард Македон Улс|Скопье
Унгар|Унгар Улс|Будапешт
Уругвай|Дорнын Бүгд Найрамдах Уругвай Улс|Монтевидео
Фижи|Бүгд Найрамдах Фижи Улс|Сува
Филиппин|Бүгд Найрамдах Филиппин Улс|Манила
Финланд|Бүгд Найрамдах Финланд Улс|Хельсинки
Франц|Бүгд Найрамдах Франц Улс|Парис
Хаити|Бүгд Найрамдах Хаити Улс|Порт-о-Пренс
Хондурас|Бүгд Найрамдах Хондурас Улс|Тегусигальпа
Хорват|Бүгд Найрамдах Хорват Улс|Загреб
Хятад|Бүгд Найрамдах Хятад Ард Улс|Бээжин
Чад|Бүгд Найрамдах Чад Улс|Н’Жамена
Чех|Бүгд Найрамдах Чех Улс|Прага
Чили|Бүгд Найрамдах Чили Улс|Сантьяго
Швед|Шведийн Хаант Улс|Стокхолм
Швейцар|Швейцарын Холбооны Улс|Берн
Шинэ Зеланд|Шинэ Зеланд Улс|Веллингтон
Шри Ланка|Бүгд Найрамдах Ардчилсан Социалист Шри Ланка Улс|Коломбо
Эквадор|Бүгд Найрамдах Эквадор Улс|Кито
Экваторын Гвиней|Экваторын Гвинейн Бүгд Найрамдах Улс|Малабо
Эль Сальвадор|Бүгд Найрамдах Эль Сальвадор Улс|Сан-Сальвадор
Эмират|Арабын Нэгдсэн Эмират Улс|Абу-Даби
Энэтхэг|Бүгд Найрамдах Энэтхэг Улс|Шинэ Дели
Эритрей|Эритрей Улс|Асмара
Эсватини|Эсватинигийн Хаант Улс|Мбабане
Эстони|Бүгд Найрамдах Эстони Улс|Таллин
Этиоп|Холбооны Бүгд Найрамдах Ардчилсан Этиоп Улс|Аддис-Абеба
Ямайка|Ямайка Улс|Кингстон
Япон|Япон Улс|Токио
